City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp(F),Wind Speed
Hervey Bay,48.0,AU,03-24-19,78.0,-25.3,152.85,86.0,4.7
Hovd,90.0,NO,03-24-19,100.0,63.83,10.7,37.99,4.7
Fort Nelson,20.0,CA,03-24-19,37.0,58.81,-122.69,51.8,11.41
Santa Cruz,1.0,US,03-24-19,55.0,36.97,-122.03,70.0,8.05
Leninskoye,0.0,RU,03-24-19,79.0,54.82,82.85,28.4,4.47
Port Elizabeth,1.0,US,03-24-19,30.0,39.31,-74.98,60.8,5.82
Puerto Ayora,0.0,EC,03-24-19,74.0,-0.74,-90.35,84.2,9.17
Maceio,20.0,BR,03-24-19,78.0,-9.67,-35.74,80.6,8.05
Lasa,0.0,CY,03-24-19,53.0,34.92,32.53,55.4,11.41
Jamestown,76.0,AU,03-24-19,72.0,-33.21,138.6,58.71,16.35
Hithadhoo,88.0,MV,03-24-19,100.0,-0.6,73.08,83.28,8.19
Lazaro Cardenas,5.0,MX,03-24-19,12.0,28.39,-105.62,82.4,9.17
Ushuaia,75.0,AR,03-24-19,40.0,-54.81,-68.31,53.6,11.41
Oudtshoorn,24.0,ZA,03-24-19,93.0,-33.59,22.2,66.2,6.93
Saint-Georges,36.0,CA,03-24-19,88.0,46.12,-70.67,30.0,5.01
Hilo,90.0,US,03-24-19,88.0,19.71,-155.08,73.99,18.03
Nanortalik,88.0,GL,03-24-19,94.0,60.14,-45.24,31.26,39.73
Katherine,90.0,AU,03-24-19,83.0,-14.47,132.26,82.4,8.05
Laguna,5.0,MX,03-24-19,16.0,27.52,-110.01,84.2,9.17
Saint George,0.0,GR,03-24-19,81.0,39.45,22.34,46.4,2.26
Torrijos,8.0,ES,03-24-19,38.0,39.98,-4.28,54.0,2.93
Morondava,0.0,MG,03-24-19,98.0,-20.3,44.28,78.15,4.61
Bandarbeyla,100.0,SO,03-24-19,100.0,9.49,50.81,79.05,2.93
Hobart,20.0,AU,03-24-19,38.0,-42.88,147.33,59.0,25.28
Busselton,0.0,AU,03-24-19,49.0,-33.64,115.35,48.99,18.25
Saint Anthony,90.0,US,03-24-19,97.0,43.97,-111.68,39.2,5.82
Ibotirama,88.0,BR,03-24-19,100.0,-12.18,-43.22,69.87,2.93
Torbay,75.0,CA,03-24-19,86.0,47.66,-52.73,34.0,26.4
Dunedin,76.0,NZ,03-24-19,89.0,-45.87,170.5,64.0,7.0
Rikitea,20.0,PF,03-24-19,97.0,-23.12,-134.97,79.77,13.67
Mataura,80.0,NZ,03-24-19,85.0,-46.19,168.86,66.99,1.99
Calama,0.0,CL,03-24-19,16.0,-22.46,-68.93,73.4,21.92
San Quintin,0.0,PH,03-24-19,57.0,17.54,120.52,74.1,4.16
Scottsbluff,90.0,US,03-24-19,87.0,41.87,-103.67,48.2,6.93
Boo,64.0,NG,03-24-19,85.0,7.44,8.9,76.17,11.65
Vestmannaeyjar,20.0,IS,03-24-19,100.0,63.44,-20.27,31.35,4.94
Zaozerne,80.0,UA,03-24-19,78.0,51.37,23.94,35.13,2.93
Faanui,12.0,PF,03-24-19,97.0,-16.48,-151.75,85.8,13.44
Eenhana,56.0,NA,03-24-19,54.0,-17.48,16.34,71.85,2.82
Bathsheba,75.0,BB,03-24-19,74.0,13.22,-59.52,78.8,14.99
Cape Town,0.0,ZA,03-24-19,82.0,-33.93,18.42,66.99,13.87
Joaima,92.0,BR,03-24-19,96.0,-16.65,-41.03,71.31,5.39
Punta Arenas,75.0,CL,03-24-19,54.0,-53.16,-70.91,53.6,28.86
Severo-Kurilsk,48.0,RU,03-24-19,100.0,50.68,156.12,27.48,15.57
Vaini,0.0,IN,03-24-19,88.0,15.34,74.49,67.08,1.7
Santo Antonio da Platina,48.0,BR,03-24-19,55.0,-23.3,-50.08,77.7,6.4
Baoding,0.0,CN,03-24-19,33.0,38.86,115.49,49.26,4.94
Hermanus,64.0,ZA,03-24-19,95.0,-34.42,19.24,66.0,2.37
Klaksvik,0.0,FO,03-24-19,80.0,62.23,-6.59,39.2,13.87
Tuktoyaktuk,75.0,CA,03-24-19,79.0,69.44,-133.03,21.2,8.05
Port Macquarie,32.0,AU,03-24-19,88.0,-31.43,152.91,82.0,3.36
Waingapu,88.0,ID,03-24-19,87.0,-9.65,120.26,79.5,7.96
Coffs Harbour,36.0,AU,03-24-19,74.0,-30.3,153.13,80.6,4.83
Panzhihua,0.0,CN,03-24-19,55.0,26.59,101.72,45.21,2.71
Upernavik,0.0,GL,03-24-19,100.0,72.79,-56.15,-0.61,26.87
Sirjan,36.0,IR,03-24-19,85.0,29.44,55.67,41.43,7.18
Albany,75.0,US,03-24-19,20.0,42.65,-73.75,55.99,14.99
